slug,trend
ips-cell,2026：iPS細胞由来治療薬が初承認（再生医療の実用段階入り）
nuclear-fusion,2022：米国NIFで核融合点火達成（エネルギー増幅実験成功）
perovskite-solar,2024：大型フィルム型太陽電池の実証開始
sodium-ion-battery,2023：中国でEV向け量産開始
desalination,2024：低エネルギー逆浸透膜の実証拡大
direct-lithium-extraction,2024：DLE商業プラント建設が進行
genome-edited-food,2023：日本でゲノム編集食品の流通拡大
aquaculture-tech,2023：ウナギ完全養殖の量産技術が前進
green-nitrogen-fixation,2024：低温触媒によるアンモニア合成研究が進展
nanozymes,2023：人工酵素の医療応用研究が拡大
generative-watermarking,2024：主要AI企業が透かし技術導入
autonomous-biochemical-sensing,2024：自律バイオセンサーの医療応用研究進展
engineered-living-therapeutics,2023：合成生物治療の臨床研究拡大
glp1-neurodegenerative,2024：GLP-1薬が神経疾患への効果で注目
osmotic-power,2023：浸透圧発電の実証プラント研究継続
structural-battery-composites,2024：構造電池の航空機応用研究
